species,longitude,latitude,q5_depth,q95_depth,q5_velocity,q95_velocity,q5_ss,q95_ss,q5_slope,q95_slope,q5_reynolds,q95_reynolds,q5_froude,q95_froude
background,2268823.543,1861564.44,11.6832581,5.6783504,2.2297518,0,0.6039292,0,7.4643416,6.5506377,2320787.25,6.7006578,0.1526687,0
background,2268977.688,1861547.943,5.539742,-0.0494666,1.8572297,0,0.7031045,0,7.9802656,8.0382156,1097456.625,2.9246974,0.2697432,0
background,2263853.503,1861228.443,2.9636145,-1.1793978,0.0203189,0,0,0,3.3764358,2.5026414,6162.952637,1.7145424,0.0020456,0
background,2264591.519,1861464.875,2.5885904,-1.2071755,0.0404542,0,0.000507,0,0.6973566,0.697648,8516.692383,0,0.0048588,0
background,2264719.3,1861470.945,2.1627545,-1.4206029,0.023761,0,0.0003024,0,0.5504218,0.4614736,4701.389648,0,0.0030019,0
background,2264778.196,1861488.555,2.6411898,-1.0068455,0.0203177,0,0.0002355,0,1.1245003,0.9283041,3747.10669,0,0.0027627,0
background,2262077.062,1861413.65,2.6049168,-0.5941783,0.0026222,0.0568936,0,0.0019234,1.2350805,1.2407851,389.2992859,4612.857422,0.0003428,0.0100999
background,2268422.105,1861400.928,8.2070942,2.8171148,1.5773939,0,0.3314319,0,6.69346,7.8177729,1477097.625,5.3698587,0.104119,0
background,2268628.602,1861490.776,11.1992035,5.4326782,1.8329802,0,0.3913731,0,8.668128,8.1467104,1983933,6.8732395,0.1001136,0
background,2269976.422,1861540.89,10.0299883,3.7208495,1.5413198,0,0.2557854,0,1.1237257,1.1229508,1230383.5,0.8888193,0.0874083,0
background,2262022.649,1861302.544,2.7209096,-0.4056557,0.0031162,0.0181948,0,0.0008893,0.9840832,0.7145541,728.9943848,1168.059082,0.0000871,0.0037904
background,2264077.614,1861459.421,2.3476777,-1.4483441,0.027775,0,0.0003516,0,6.0611324,6.062901,7921.870117,0,0.0042458,0
background,2267831.994,1861213.37,12.756628,6.7732882,1.8720728,0,0.4131885,0,2.8656096,2.8744872,2051596.375,9.2099886,0.1181339,0
background,2263842.952,1861309.96,0.9707067,-1.0686336,0.0084758,0,0,0,0.2211365,0.6836067,819.2791138,0.049429,0.0010473,0
background,2262057.487,1861273.737,3.0835388,-0.1593709,0.0036124,0.0068619,0,0.000402,0.3812831,0.3845332,917.1020508,366.0755615,0.0000398,0.0015659
background,2269742.613,1861503.13,7.6115193,1.3186576,1.2412715,0,0.1821738,0,6.7340393,5.8172703,752900.75,0.0478907,0.0815047,0
background,2264557.655,1861479.271,2.2178175,-1.5792606,0.0603992,0,0.0009738,0,1.0772566,1.0770617,10100.58789,0,0.0078791,0
background,2261927.799,1861261.592,1.7317518,-0.9914466,0.0022448,0.0177198,0,0.0010878,0.4567054,0.2186003,386.5018005,888.0909424,0.0002282,0.0041514
background,2262136.113,1861193.942,2.7315602,-0.4012418,0.000894,0.0101469,0,0.000756,0.8090714,0.4281098,204.0926361,355.1115723,0.0000755,0.002666
